ID,group,brsi_all,pre_mood,post_mood,diff_mood,pre_ci,pre_ci_all_1,pre_ci_all_2,pre_ci_all_3,pre_ci_all_4,post_ci_all,post_ci_all_1,post_ci_all_2,post_ci_all_3,post_ci_all_4,diff_ci
70,1,3,0.409208819714656,0.51,0.100791180285344,1.25,2,0,0,3,2.5,4,1,1,4,1.25
71,2,0,0.800694444444444,0.69,-0.110694444444445,0.5,1,0,0,1,1,1,1,1,1,0.5
72,2,0,0.699546485260771,0.622727272727273,-0.0768192125334983,2,3,1,2,2,2.5,3,1,3,3,0.5
73,1,2,0.694270833333333,0.551818181818182,-0.142452651515152,0.75,2,0,0,1,0.75,2,0,0,1,0
74,1,1,0.601254480286738,0.509090909090909,-0.0921635711958293,0.75,2,0,0,1,0.5,1,0,0,1,-0.25
75,1,2,0.2109375,0.180909090909091,-0.0300284090909091,3.25,3,3,4,3,3.5,4,3,4,3,0.25
76,2,0,0.595168374816984,0.539090909090909,-0.0560774657260749,1.25,2,0,2,1,1.5,1,2,1,2,0.25
77,1,2,0.798148148148148,0.749090909090909,-0.0490572390572389,0.5,1,0,0,1,0.75,1,0,0,2,0.25
78,2,0,0.501464128843338,0.490909090909091,-0.0105550379342473,0.75,0,0,0,3,2,4,0,0,4,1.25
79,2,0,0.503819439146254,0.493636363636364,-0.0101830755098902,0.25,0,0,0,1,0.5,0,0,0,2,0.25
80,2,0,0.784027777777778,0.75,-0.0340277777777778,1.5,1,3,0,2,1.25,1,2,0,2,-0.25
81,2,1,0.602083333333333,0.398181818181818,-0.203901515151515,1.5,1,2,2,1,1,1,1,1,1,-0.5
82,2,0,0.59700176366843,0.675454545454545,0.078452781786115,1.5,2,1,1,2,0.75,2,0,0,1,-0.75
83,2,0,0.525694444444444,0.522727272727273,-0.00296717171717176,0.25,1,0,0,0,2,2,2,2,2,1.75
84,1,3,0.804255319148936,0.285454545454545,-0.518800773694391,0,0,0,0,0,2.25,3,3,2,1,2.25
85,2,1,0.199305555555556,0.528181818181818,0.328876262626263,1.25,1,1,2,1,0.5,0,0,1,1,-0.75
86,1,2,0.199305555555556,0.22,0.0206944444444444,1.5,2,1,2,1,2.25,3,2,2,2,0.75
87,1,3,0.700139141035852,0.445119299963574,-0.255019841072279,1.75,2,3,1,1,1.75,1,2,2,2,0
88,2,0,0.899583333333333,0.922727272727273,0.0231439393939393,0.25,0,0,0,1,0.5,1,0,0,1,0.25
89,1,3,0.65502602026842,0.245,-0.41002602026842,0,0,0,0,0,0.25,0,1,0,0,0.25
90,1,2,0.805729166666667,0.566363636363636,-0.23936553030303,1.25,1,0,2,2,2.5,3,2,2,3,1.25
91,2,0,0.598611111111111,0.487272727272727,-0.111338383838384,0.75,0,3,0,0,0.25,0,1,0,0,-0.5
92,1,0,0.697395828035143,0.640909090909091,-0.0564867371260517,0.25,1,0,0,0,0.25,0,0,0,1,0
93,1,2,0.588194444444444,0.422727272727273,-0.165467171717172,0.25,1,0,0,0,0.75,1,1,0,1,0.5
94,1,3,0.601388888888889,0.326363636363636,-0.275025252525253,0.25,1,0,0,0,3,3,3,3,3,2.75
95,2,0,0.502083333333333,0.732727272727273,0.230643939393939,0,0,0,0,0,0,0,0,0,0,0
96,1,2,0.601031870428422,0.72,0.118968129571578,0.25,0,0,0,1,0.25,0,1,0,0,0
97,2,0,0.547154471544715,0.49,-0.0571544715447154,0.5,1,0,0,1,2.5,3,1,2,4,2
98,2,0,0.497559785261103,0.492727272727273,-0.00483251253383027,0.5,0,0,0,2,0.75,1,0,0,2,0.25
99,1,1,0.500347216924032,0.47,-0.0303472169240316,0,0,0,0,0,0,0,0,0,0,0
100,1,3,1,0.22,-0.78,0,0,0,0,0,0.5,0,1,1,0,0.5
101,1,3,0.70014245014245,0.69,-0.0101424501424502,0,0,0,0,0,0,0,0,0,0,0
102,2,0,0.5,0.57,0.07,1,2,0,0,2,1.25,2,0,0,3,0.25
103,2,0,0.301388888888889,0.301212102716619,-0.000176786172269572,1.5,3,0,1,2,2,3,1,2,2,0.5
104,1,2,0.546438410074774,0.355525965379494,-0.19091244469528,2.25,2,2,2,3,1.25,1,1,2,1,-1
105,1,2,0.500694444444444,0.382727272727273,-0.117967171717172,0.25,0,0,1,0,1.75,0,3,2,2,1.5
106,1,2,0.601388888888889,0.5,-0.101388888888889,0.75,1,0,1,1,1.75,1,2,2,2,1
107,2,0,0.702847226460775,0.988181818181818,0.285334591721043,0.75,0,1,2,0,0,0,0,0,0,-0.75
108,2,0,0.8,0.888181818181818,0.0881818181818181,0.25,1,0,0,0,0.5,0,1,0,1,0.25
109,2,0,0.5,0.493636363636364,-0.00636363636363635,0,0,0,0,0,0,0,0,0,0,0
110,1,3,0.75062656641604,0.25,-0.50062656641604,3.5,4,3,3,4,4,4,4,4,4,0.5
111,1,1,0.796354161368476,0.59,-0.206354161368476,1,2,0,1,1,1,2,0,1,1,0
112,2,0,0.768229166666667,0.808181818181818,0.0399526515151516,0.75,1,1,0,1,0.5,1,0,0,1,-0.25
113,1,1,0.800351246944371,0.570727261629972,-0.2296239853144,0,0,0,0,0,0,0,0,0,0,0
114,1,3,0.733333333333333,0.394545454545455,-0.338787878787879,1,1,1,1,1,2.25,2,2,2,3,1.25
115,2,0,0.902049780380674,0.4975,-0.404549780380674,0,0,0,0,0,0.25,0,0,1,0,0.25
116,1,1,0.755555555555556,0.543636363636364,-0.211919191919192,0.75,1,1,1,0,2.5,3,3,2,2,1.75
117,2,0,0.898611111111111,0.917272727272727,0.0186616161616161,0.5,1,0,1,0,0,0,0,0,0,-0.5
118,1,2,0.610763883590698,0.72,0.109236116409302,0.75,1,0,0,2,1.5,1,2,1,2,0.75
119,1,2,0.502777777777778,0.319090909090909,-0.183686868686869,0.5,0,1,1,0,2.5,2,2,3,3,2
120,1,2,0.788481667403775,0.627272727272727,-0.161208940131048,0.75,3,0,0,0,0,0,0,0,0,-0.75
121,2,0,0.500462962962963,0.640909090909091,0.140446127946128,0.5,1,0,0,1,0.75,1,0,1,1,0.25
122,2,3,0.796180550257365,0.674545454545455,-0.12163509571191,1.5,2,1,1,2,0.5,1,1,0,0,-1
123,2,0,0.594097216924032,0.62,0.0259027830759684,0,0,0,0,0,0,0,0,0,0,0
124,2,1,0.600048804294778,0.627272727272727,0.0272239229779494,1.25,2,1,0,2,0.5,1,0,0,1,-0.75
125,1,1,0.901388888888889,0.999090909090909,0.0977020202020203,0.5,1,0,0,1,0,0,0,0,0,-0.5
126,2,0,0.533529507781465,0.669454539905895,0.13592503212443,2.75,3,1,3,4,1.75,2,1,2,2,-1
127,1,3,0.402428810720268,0.276363636363636,-0.126065174356632,2,3,0,2,3,1.5,2,1,2,1,-0.5
128,2,0,0.505902783075968,0.515454545454545,0.00955176237857702,0,0,0,0,0,0,0,0,0,0,0
129,2,0,0.714250854075159,0.626363636363636,-0.0878872177115223,0.75,2,0,0,1,0,0,0,0,0,-0.75
130,2,0,0.871428571428571,0.835454545454545,-0.035974025974026,0,0,0,0,0,0,0,0,0,0,0
131,2,0,0.798958328035143,0.914545454545455,0.115587126510312,2,3,1,1,3,1,1,0,0,3,-1
